[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 他應該是二補數的意思，-1的二補數是11...1，IEEE才是你, 03/20 23:24
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 那樣, 03/20 23:24
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 整數integer會用二補數存不會用浮點數表示法, 03/20 23:28
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 剛好看到，還好還記得 樓上要加入行列嗎XD, 03/20 23:28
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 樓上少來= =   整理筆記才是解救眾生, 03/20 23:29
[請益] 離散數學的主要章節 - 看板 graduate - 批踢踢實業坊,skyHuan,: 真的不想買拿第三版搭配網路筆記看應該,223.140.194.168 05/01 21:13
[請益] 離散數學的主要章節 - 看板 graduate - 批踢踢實業坊,skyHuan,: 還行，我比較好奇為什麼學校圖書館有大,223.140.194.168 05/01 21:13
[請益] 離散數學的主要章節 - 看板 graduate - 批踢踢實業坊,skyHuan,: 碩的書XDDD,223.140.194.168 05/01 21:13
[理工] 演算法複雜度 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 可以但題目應該是想要你用subtitution, 03/25 15:56
[理工] 演算法複雜度 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 選擇題可以直接省略用master看，但證明用subtitution比, 03/25 15:57
[理工] 演算法複雜度 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 較好, 03/25 15:57
[理工] 演算法複雜度 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 證O再用一樣的方法證Omega就是theta了, 03/25 19:31
[徵求] 救救交大經管備取生 - 看板 graduate - 批踢踢實業坊,skyHuan,: 這樣有,223.137.136.251 05/02 22:51
[理工] 成大計組作答方式 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 應該是不用過程，都有格子了一行寫一個答案就好了吧再畫, 02/22 19:17
[理工] 成大計組作答方式 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 反而更亂，教授應該只是不想找答案而已。我去年眼殘沒看, 02/22 19:17
[理工] 成大計組作答方式 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 到全部都寫過程，出來才知道要列表寫答案，但最後教授還, 02/22 19:17
[理工] 成大計組作答方式 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 是有給分, 02/22 19:17
[理工] 成大計組 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 我也覺得是yes..., 02/22 20:33
[理工] 成大計組 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 我是想page table也會存memory, 02/22 20:36
